ID,Title,Brand,Model
344,,Panasonic,NRTBG27VSS3
203,<strong>The Koryo 100 L direct cool single door refrigerator models KCH100BG has a capacity of 100 litres.</strong>,Koryo,KCH100BG
2,"""Bosch 415 L Frost Free Double Door 3 Star Refrigerator (KGN46XL40I)"".
User ",Bosch,KGN46XL40I
414,"""Siemens 112 L Direct Cool Single Door 4 Star Refrigerator (KI18LV52) is a refrigerator model.""",Siemens,KI18LV52
151,"""Hitachi R-WB560PND9-GBW refrigerator provides ample storage for a variety of food items.""",Hitachi,R-WB560PND9-GBW
508,<strong>Whirlpool 265 L Frost Free Double Door 3 Star Refrigerator</strong>,Whirlpool,INV IF278 CNV 3S
5,"""Bosch 658 L Frost Free Side by Side 5 Star Refrigerator is an impressive appliance with great features.""
User ",Bosch,KAN92VI35I
157,"""Hitachi 342 L Frost Free Triple Door Inverter Technology Refrigerator (RSG32FPND)""",Hitachi,RSG32FPND
428,"""Videocon 80 L Direct Cool Single Door 1 Star Refrigerator (VC091PSH) is a fridge with a capacity of 80 liters.""",Videocon,VC091PSH
452,<strong>Videocon 47 L Direct Cool Single Door 2 Star Refrigerator (VC062PSH)</strong>,Videocon,VC062PSH
300,"""MarQ by Flipkart 180 L Direct Cool Single Door 3 Star Refrigerator (MDCR180PG)"".",MarQ by Flipkart,MDCR180PG
152,,Hitachi,RS700PND2
504,"""This refrigerator by Voltas Beko is ideal for cooling your food and keeping it fresh.""",Voltas Beko,RDC215DXIRX
24,"""Bosch 401 L Frost Free Double Door 2 Star Refrigerator is a refrigerator that keeps your food cold and fresh.""",Bosch,KDN46XI30I
235,"""LG 360 L Frost Free Double Door 3 Star Refrigerator (GL T402JES3) is a great choice for any family!""",LG,GL T402JES3
334,"
What a great refrigerator from brand Onida! It has a 190 L capacity, so it will definitely keep your food and beverages chilled and fresh for a much longer time!",Onida,RDS1903P
262,"""Lloyd 519 L Frost Free Multi Door Inverter Technology Star Refrigerator (GLMF520DSST1GB) is a brand and model number.""",Lloyd,GLMF520DSST1GB
176,"""Kelvinator KRD A210 2 Star Direct Cool Refrigerator with Cool 190 Ltr.""
User ",Kelvinator,KRD A210 MRP
333,"'Onida 215 L Direct Cool Single Door 2 Star Refrigerator (RDS2152P) is a brand that offers a variety of refrigerator models, including the RDS2152P.'",Onida,RDS2152P
490,,Voltas Beko,RSB665XPRF
111,"""Haier 190 L Direct Cool Single Door 2 Star Refrigerator (HRD-1902CMS-E)""",Haier,HRD-1902CMS-E
435,"""A Videocon 1 Star Direct Cool Refrigerator has a model number VC061PISH-HDW.""",Videocon,VC061PISH-HDW
18,"""Bosch 347 L Frost Free Double Door 4 Star Refrigerator (KDN43VB40I) is a refrigerator brand and model number.""
User ",Bosch,KDN43VB40I
245,'Lloyd Double Door 2 Star Frost Free Refrigerator',Lloyd,GLFF282ASRT1PB
243,<p>What type of fridge is this?</p>,Lloyd,GLFF312AMWT1PB
352,- |,Panasonic,NR-BG313VGG3
194,"""Koryo 509 L Frost Free Side by Side Refrigerator (KSBS549INV) is a brand and model number.""",Koryo,KSBS549INV
279,,MarQ by Flipkart,563GSMQS
99,"""Godrej 251 L Direct Cool Single Door 3 Star Refrigerator (RD EDGESX 266C 33 TAI GL WN)"" is a meaningful sentence from the given text.",Godrej,RD EDGESX 266C 33 TAI GL WN
501,"""Voltas Beko RDC245C60 Refrigerator""",Voltas Beko,RDC245C60
166,"""Hitachi 451 L Frost Free Double Door 3 Star Refrigerator is a perfect addition to any kitchen.""",Hitachi,RV470PND3K
108,"""Godrej RD EDGEPRO 205L Direct Cool Single Door 4 Star Refrigerator (RD EDGEPRO 205D 43 TAI JW WN)"". The output should match the given text and have the necessary capitalization for proper brand display.",Godrej,RD EDGEPRO 205D 43 TAI JW WN
488,'Voltas Beko 185 L Direct Cool Single Door 2 Star Refrigerator (RDC205DKPRX)',Voltas Beko,RDC205DKPRX
439,"""This Videocon Refrigerator model (VZ205PTRP) is a 5 Star Direct Cool Single Door Refrigerator.""",Videocon,VZ205PTRP
265,"""Lloyd 587 L Frost Free Side by Side Refrigerator is a brand model number.""",Lloyd,GLSF590DSST1PB
492,<code>Voltas Beko 195 L Direct Cool Single Door 4 Star Refrigerator (RDC215BFPEXB)</code>,Voltas Beko,RDC215BFPEXB
291,"""MarQ by Flipkart 90 L Direct Cool Single Door 1 Star Refrigerator (100BD1MQG1) is a refrigerator.""",MarQ by Flipkart,100BD1MQG1
436,"""Videocon 215 L Direct Cool Single Door 4 Star Refrigerator (VCL224T)"".",Videocon,VCL224T
529,'The Whirlpool 4S INV Direct Cool Single Door Refrigerator (230 IMPRO ROY) offers a variety of features including a spacious fridge for ample storage space.',Whirlpool,230 IMPRO ROY 4S INV
248,"""What is the brand and model number of the refrigerator in question?""",Lloyd,GLFF313AHGT1PB
489,"""Voltas Beko RDC205DSWRX 185 L Direct Cool Single Door 2 Star Refrigerator""",Voltas Beko,RDC205DSWRX
195,"""Koryo 190 L Direct Cool Single Door 3 Star Refrigerator (KDR210S3)""",Koryo,KDR210S3
517,,Whirlpool,FP 263D PROTTON ROY
468,"""Voltas 230 L Frost Free Double Door 3 Star Refrigerator (RFF253I) is the best option in the market.""",Voltas,RFF253I
240,"(Lifelong, LLPR04W) Lifeelong 4 L Thermoelectric Cooling Single Door Refrigerator.",Lifelong,LLPR04W
384,"""Samsung 198 L Direct Cool Single Door 5 Star Refrigerator (RR21A2H2WTU/HL)""",Samsung,RR21A2H2WTU/HL
483,"""Voltas 500 L Frost Free Double Door Refrigerator (CHEST FREEZER) is a great choice for a frost-free, energy saving and stylish appliance.""",Voltas,CHEST FREEZER
250,"
How does the Lloyd 200 L Direct Cool Single Door 2 Star Refrigerator work to provide cold, fresh food and beverages?",Lloyd,GLDC212SBWT2PB
10,"""Bosch 501 L Frost Free Double Door 2 Star Refrigerator (KDD56XI30I) is a quality appliance that offers reliable cooling and storage options.""",Bosch,KDD56XI30I
33,<a href='text=croma%20%20frost%20free%20double%20door%20%25252500l%25252500c%25252500r%25252500f%25252500c%25252500l%25252500c%25252500u%25252500r' target='_blank'>croma 270 l frost free double door 2 star refrigerator ,Croma,CRLR272FFC259601
424,'Siemens 507 L Frost Free Double Door 2 Star Refrigerator (KD56NXI30I)',Siemens,KD56NXI30I
44,,Croma,CRAR2522
211,4 Star Refrigerator from LG.,LG,GL D241ASCY
202,,Koryo,KSBS605INV
341,"""Panasonic 309 L Double Door Frost-free Refrigerator is a must-have for every modern kitchen.""",Panasonic,NR TG321CUSN
284,"<noinput>
<noinput>",MarQ by Flipkart,252CFDS3MQ
74,,Electrolux,REF EP242LMDHFB
258,(No output required).,Lloyd,GLDF214ST2PB
205,<noinput>,Koryo,KSBS605BKINV
325,"'Motorola 533AFDMTB is a refrigerator designed to provide a constant supply of crisp, fresh food and beverages.'",Motorola,533AFDMTB
512,"""Whirlpool 200 L Direct Cool Single Door 4 Star Refrigerator (DC 215 G)""
User ",Whirlpool,DC 215 G
458,"""Voltas 195 L Direct Cool Single Door Refrigerator (RDC215CFBSX/EXTH)"".",Voltas,RDC215CFBSX/EXTH
305,"""MarQ by Flipkart 170 L Direct Cool Single Door 2 Star Refrigerator (170BD2MQB1)""",MarQ by Flipkart,170BD2MQB1
398,"""Samsung 810 L Frost Free Side by Side Inverter Technology Refrigerator (RF28N9780SG)""",Samsung,RF28N9780SG
27,'Bosch 401 L Frost Free Double Door 2 Star Refrigerator (KDD46XI30I)' is a refrigerator model by Bosch.,Bosch,KDD46XI30I
362,"""Panasonic 197 L Direct Cool Single Door 3 Star Refrigerator (NR A201CEMN)""",Panasonic,NR A201CEMN
242,'Lifelong 4 L Thermoelectric Cooling Single Door Refrigerator (LLPR04R)',Lifelong,LLPR04R
197,<noinput>,Koryo,KDR215MR3F
42,"""Croma 584 L Frost Free Side by Side 3 Star Refrigerator (CRAR2601)""",Croma,CRAR2601
55,"
This refrigerator from Croma is a 3 star rated Frost Free Double Door appliance.",Croma,CRAR2402
117,"""Haier 220 L Direct Cool Single Door 4 Star Refrigerator (HED-22CFDS)""",Haier,HED-22CFDS
128,"""Haier 258 L Frost Free Double Door 3 Star Refrigerator (HRF-2783BKS-E) """,Haier,HRF-2783BKS-E
115,"""Haier 258 L Frost Free Double Door 3 Star Refrigerator (HEF-25TDS) is a great option for families.""",Haier,HEF-25TDS
109,'Godrej 190 L Direct Cool Single Door 3 Star Refrigerator (RD EDGEPRO 205C 33 TAF)',Godrej,RD EDGEPRO 205C 33 TAF
255,"
This refrigerator is the Lloyd 4 star direct cool single door model.",Lloyd,GLDF214SBWS2PB
7,"""This refrigerator has 3 stars and is a Bosch model.""",Bosch,KAD92SB30
223,,LG,GL B201APZD
451,"""Get the Videocon 215 L Direct Cool Single Door 5 Star Refrigerator with (VZ225LTCBP) for the best cooling performance.""",Videocon,VZ225LTCBP
