text,labels
L CRLR280FFC259602 279 Free Door 2 Croma Refrigerator Double Frost Star,O B-mo O O O O B-br O O O O
Refrigerator Door 279 Double 2 Frost CRLR280FFC259602 Free L Star Croma,O O O O O O B-mo O O O B-br
Refrigerator 279 Double 2 Frost CRLR280FFC259602 Free L Star Croma,O O O O O B-mo O O O B-br
Croma 307 L Frost Free Double Door 2 Star Refrigerator  CRLR310FFC259603,B-br O O O O O O O O O B-mo
Refrigerator CRLR310FFC259603 2 307 Star Double Croma Frost Door Free L,O B-mo O O O O B-br O O O O
L Double Star Croma 2 Refrigerator Door Frost Free CRLR310FFC259603 307,O O O B-br O O O O O B-mo O
L Double Star Croma 2 Refrigerator Frost Free CRLR310FFC259603 307,O O O B-br O O O O B-mo O
Croma 259 L Frost Free Double Door 3 Star Refrigerator  CRLR260FFD259606,B-br O O O O O O O O O B-mo
Door L 3 Frost CRLR260FFD259606 Croma Refrigerator Double 259 Free Star,O O O O B-mo B-br O O O O O
Star Double 3 L CRLR260FFD259606 Free Door Croma Frost Refrigerator 259,O O O O B-mo O O B-br O O O
Star Double 3 L CRLR260FFD259606 Free Door Croma Refrigerator 259,O O O O B-mo O O B-br O O
Croma 50 L Direct Cool Single Door 1 Star Refrigerator  CRAR0218,B-br O O O O O O O O O B-mo
1 Croma CRAR0218 L 50 Refrigerator Star Direct Single Door Cool,O B-br B-mo O O O O O O O O
1 Croma L Cool Direct 50 Refrigerator Door CRAR0218 Star Single,O B-br O O O O O O B-mo O O
1 Croma Cool Direct 50 Refrigerator Door CRAR0218 Star Single,O B-br O O O O O B-mo O O
Croma 347 L Frost Free Double Door 2 Star Refrigerator  CRAR2404,B-br O O O O O O O O O B-mo
CRAR2404 Star Door 347 Croma Frost L Double 2 Refrigerator Free,B-mo O O O B-br O O O O O O
Double Star CRAR2404 Frost Croma Door L Free Refrigerator 347 2,O O B-mo O B-br O O O O O O
Star CRAR2404 Frost Croma Door L Free Refrigerator 347 2,O B-mo O B-br O O O O O O
Croma 310 L Frost Free Double Door 2 Star Refrigerator  CRAR2403,B-br O O O O O O O O O B-mo
Door Star Free CRAR2403 Frost Croma 2 Double Refrigerator 310 L,O O O B-mo O B-br O O O O O
2 CRAR2403 Free Door Frost Double Croma L Star 310 Refrigerator,O B-mo O O O O B-br O O O O
2 CRAR2403 Free Door Double Croma L Star 310 Refrigerator,O B-mo O O O B-br O O O O
Croma 225 L Direct Cool Single Door 2 Star Refrigerator  CRAR0214,B-br O O O O O O O O O B-mo
Refrigerator Croma Cool Single CRAR0214 225 2 Star Door Direct L,O B-br O O B-mo O O O O O O
Direct 225 2 Star CRAR0214 Refrigerator Croma Cool L Single Door,O O O O B-mo O B-br O O O O
Direct 2 Star CRAR0214 Refrigerator Croma Cool L Single Door,O O O B-mo O B-br O O O O
Croma 584 L Frost Free Side by Side 3 Star Refrigerator  CRAR2601,B-br O O O O O O O O O O B-mo
Side Side 3 584 L Refrigerator by Croma Star Frost CRAR2601 Free,O O O O O O O B-br O O B-mo O
Side L Side Frost CRAR2601 by Refrigerator 3 Star Croma Free 584,O O O O B-mo O O O O B-br O O
Side L Side Frost by Refrigerator 3 Star Croma Free 584,O O O O O O O O B-br O O
Croma 592 L Frost Free Side by Side 3 Star Refrigerator  CRAR2621,B-br O O O O O O O O O O B-mo
Refrigerator Side Frost Star Free 3 592 L Side Croma by CRAR2621,O O O O O O O O O B-br O B-mo
3 Croma Side L by Free CRAR2621 Side Star Refrigerator Frost 592,O B-br O O O O B-mo O O O O O
3 Croma Side L by Free CRAR2621 Side Star Refrigerator 592,O B-br O O O O B-mo O O O O
Croma 263 L Frost Free Double Door 2 Star Refrigerator  CRAR2522,B-br O O O O O O O O O B-mo
Star Door L 2 Croma Double CRAR2522 Free Frost 263 Refrigerator,O O O O B-br O B-mo O O O O
Star Croma Door CRAR2522 Refrigerator Double 2 L Frost 263 Free,O B-br O B-mo O O O O O O O
Croma Door CRAR2522 Refrigerator Double 2 L Frost 263 Free,B-br O B-mo O O O O O O O
Croma 541 L Frost Free Double Door 2 Star Refrigerator  CRAR2525,B-br O O O O O O O O O B-mo
2 CRAR2525 Double Croma Free Frost Star Door 541 L Refrigerator,O B-mo O B-br O O O O O O O
Frost Door Double Refrigerator L Croma 2 Star Free 541 CRAR2525,O O O O O B-br O O O O B-mo
Frost Door Double Refrigerator Croma 2 Star Free 541 CRAR2525,O O O O B-br O O O O B-mo
Croma 170 L Direct Cool Single Door 2 Star Refrigerator  CRLRFC403sD170,B-br O O O O O O O O O B-mo
Croma Refrigerator Star Cool Door Single 2 CRLRFC403sD170 170 Direct L,B-br O O O O O O B-mo O O O
170 Refrigerator Single Cool 2 CRLRFC403sD170 Star Croma Direct L Door,O O O O O B-mo O B-br O O O
170 Refrigerator Single Cool 2 Star Croma Direct L Door,O O O O O O B-br O O O
Croma 170 L Direct Cool Single Door 3 Star Refrigerator  CRAC0211,B-br O O O O O O O O O B-mo
Door Star Cool 170 Direct 3 L Croma Refrigerator CRAC0211 Single,O O O O O O O B-br O B-mo O
Star Door L Single CRAC0211 3 Direct 170 Croma Refrigerator Cool,O O O O B-mo O O O B-br O O
Door L Single CRAC0211 3 Direct 170 Croma Refrigerator Cool,O O O B-mo O O O B-br O O
Croma 270 L Frost Free Double Door 3 Star Refrigerator  CRAR2386,B-br O O O O O O O O O B-mo
L 3 Croma Frost Free 270 Double Star Refrigerator CRAR2386 Door,O O B-br O O O O O O B-mo O
L Double Frost 3 Door Croma Free 270 CRAR2386 Refrigerator Star,O O O O O B-br O O B-mo O O
L Double Frost 3 Door Croma Free 270 CRAR2386 Star,O O O O O B-br O O B-mo O
Croma 190 L Direct Cool Single Door 3 Star Refrigerator  CRAR0212,B-br O O O O O O O O O B-mo
Cool L 190 Refrigerator Direct Single 3 Door Star Croma CRAR0212,O O O O O O O O O B-br B-mo
Cool Croma Single Door 190 Direct Refrigerator CRAR0212 L Star 3,O B-br O O O O O B-mo O O O
Cool Croma Single 190 Direct Refrigerator CRAR0212 L Star 3,O B-br O O O O B-mo O O O
Croma 225 L Direct Cool Single Door 2 Star Refrigerator  CRAR0213,B-br O O O O O O O O O B-mo
Star 225 L Refrigerator CRAR0213 Croma 2 Door Single Direct Cool,O O O O B-mo B-br O O O O O
CRAR0213 Star 2 Refrigerator Direct Cool 225 L Door Single Croma,B-mo O O O O O O O O O B-br
CRAR0213 Star 2 Refrigerator Direct Cool L Door Single Croma,B-mo O O O O O O O O B-br
Croma 92 L Direct Cool Single Door 1 Star Refrigerator  CRLRFC402sD100,B-br O O O O O O O O O B-mo
Direct CRLRFC402sD100 Refrigerator Single L 92 Croma Door Star Cool 1,O B-mo O O O O B-br O O O O
L CRLRFC402sD100 92 Single Direct 1 Door Croma Refrigerator Cool Star,O B-mo O O O O O B-br O O O
L CRLRFC402sD100 92 Direct 1 Door Croma Refrigerator Cool Star,O B-mo O O O O B-br O O O
Croma 170 L Direct Cool Single Door 4 Star Refrigerator  CRAR0208,B-br O O O O O O O O O B-mo
Croma Single Refrigerator L Star Door CRAR0208 170 4 Direct Cool,B-br O O O O O B-mo O O O O
170 Single Refrigerator Croma Direct Star Door L CRAR0208 4 Cool,O O O B-br O O O O B-mo O O
170 Single Refrigerator Direct Star Door L CRAR0208 4 Cool,O O O O O O O B-mo O O
Croma 170 L Direct Cool Single Door 3 Star Refrigerator  CRAR0211,B-br O O O O O O O O O B-mo
Star L Cool Direct Croma Door CRAR0211 Refrigerator Single 170 3,O O O O B-br O B-mo O O O O
Star Cool CRAR0211 Croma 170 Door L Single 3 Direct Refrigerator,O O B-mo B-br O O O O O O O
Star Cool CRAR0211 Croma 170 Door L Single 3 Refrigerator,O O B-mo B-br O O O O O O
Croma 310 L Frost Free Double Door 3 Star Refrigerator  CRAR2401,B-br O O O O O O O O O B-mo
Door Refrigerator Frost CRAR2401 L Free 3 Croma 310 Double Star,O O O B-mo O O O B-br O O O
Croma 310 Double Free Refrigerator Door CRAR2401 L Star Frost 3,B-br O O O O O B-mo O O O O
Croma 310 Free Refrigerator Door CRAR2401 L Star Frost 3,B-br O O O O B-mo O O O O
Croma 335 L Frost Free Double Door 3 Star Refrigerator  CRAR2402,B-br O O O O O O O O O B-mo
Refrigerator Door Star Free Double CRAR2402 Croma Frost 335 3 L,O O O O O B-mo B-br O O O O
Croma 3 335 L Star Frost Double Free Door Refrigerator CRAR2402,B-br O O O O O O O O O B-mo
Croma 3 335 L Star Frost Double Free Door CRAR2402,B-br O O O O O O O O B-mo
Croma 435 L Frost Free Double Door 1 Star Refrigerator  CRAR2523,B-br O O O O O O O O O B-mo
Door Free Refrigerator Star 1 CRAR2523 L 435 Frost Double Croma,O O O O O B-mo O O O O B-br
Frost Star 435 Free L Croma Refrigerator CRAR2523 1 Door Double,O O O O O B-br O B-mo O O O
Star 435 Free L Croma Refrigerator CRAR2523 1 Door Double,O O O O B-br O B-mo O O O
Electrolux 470 L Frost Free Double Door 2 Star Refrigerator  ETB4702AA,B-br O O O O O O O O O B-mo
470 2 L Refrigerator Electrolux Door Frost Free ETB4702AA Star Double,O O O O B-br O O O B-mo O O
Electrolux Free L Refrigerator Star Door Double 2 ETB4702AA 470 Frost,B-br O O O O O O O B-mo O O
Electrolux Free L Refrigerator Star Double 2 ETB4702AA 470 Frost,B-br O O O O O O B-mo O O
Electrolux 190 L Direct Cool Single Door 3 Star Refrigerator  EN205PTSV,B-br O O O O O O O O O B-mo
Single Cool Star EN205PTSV 190 Direct Refrigerator Door Electrolux L 3,O O O B-mo O O O O B-br O O
L Direct Single 190 Door Electrolux Star Cool Refrigerator EN205PTSV 3,O O O O O B-br O O O B-mo O
L Direct Single 190 Door Electrolux Star Cool Refrigerator 3,O O O O O B-br O O O O
Electrolux 80 L Direct Cool Single Door 1 Star Refrigerator  HEC091PSH,B-br O O O O O O O O O B-mo
HEC091PSH Star Cool L Refrigerator Door Electrolux Direct 1 Single 80,B-mo O O O O O B-br O O O O
L 1 Refrigerator Door Star HEC091PSH Cool Direct 80 Single Electrolux,O O O O O B-mo O O O O B-br
L 1 Refrigerator Door Star HEC091PSH Cool Direct 80 Electrolux,O O O O O B-mo O O O B-br
Electrolux 47 L Direct Cool Single Door 2 Star Refrigerator  EC060PSH,B-br O O O O O O O O O B-mo
47 Single 2 Refrigerator Electrolux Direct Star L Cool EC060PSH Door,O O O O B-br O O O O B-mo O
L Refrigerator Door Electrolux EC060PSH 47 Direct Star Cool 2 Single,O O O B-br B-mo O O O O O O
L Refrigerator Door Electrolux EC060PSH 47 Star Cool 2 Single,O O O B-br B-mo O O O O O
Electrolux 190 L Direct Cool Single Door 3 Star Refrigerator  EB203EBR,B-br O O O O O O O O O B-mo
Electrolux Door Refrigerator Cool 3 Direct Star L EB203EBR 190 Single,B-br O O O O O O O B-mo O O
Electrolux Refrigerator Cool EB203EBR Direct L Star 3 Door 190 Single,B-br O O B-mo O O O O O O O
Electrolux Refrigerator Cool EB203EBR Direct L Star 3 190 Single,B-br O O B-mo O O O O O O
Electrolux 370 L Frost Free Triple Door Refrigerator  EME3700MG,B-br O O O O O O O B-mo
Frost L Door Electrolux EME3700MG Free Triple 370 Refrigerator,O O O B-br B-mo O O O O
L 370 Free Electrolux Frost Triple Refrigerator EME3700MG Door,O O O B-br O O O B-mo O
L 370 Free Electrolux Frost Triple Refrigerator Door,O O O B-br O O O O
Electrolux 524 L Frost Free French Door Refrigerator  EHE5200SA,B-br O O O O O O O B-mo
Electrolux Free Door Refrigerator 524 L EHE5200SA French Frost,B-br O O O O O B-mo O O
L Refrigerator Door EHE5200SA French Frost Electrolux 524 Free,O O O B-mo O O B-br O O
L Refrigerator Door EHE5200SA French Frost Electrolux 524,O O O B-mo O O B-br O
Electrolux 235 L Frost Free Double Door 2 Star Refrigerator  REF EP242LSVHFB,B-br O O O O O O O O O B-mo I-mo
2 Double Door REF Star L Electrolux Frost Free EP242LSVHFB 235 Refrigerator,O O O B-mo O O B-br O O I-mo O O
REF L Door Electrolux Double EP242LSVHFB 235 2 Frost Free Star Refrigerator,B-mo O O B-br O I-mo O O O O O O
REF L Door Electrolux Double EP242LSVHFB 235 2 Frost Free Refrigerator,B-mo O O B-br O I-mo O O O O O
Electrolux 190 L Frost Free Double Door 2 Star Refrigerator  REF EP202LSVHFB,B-br O O O O O O O O O B-mo I-mo
2 REF 190 Double L Frost EP202LSVHFB Star Free Refrigerator Door Electrolux,O B-mo O O O O I-mo O O O O B-br
Electrolux 2 Door Star Refrigerator 190 Frost REF L Free EP202LSVHFB Double,B-br O O O O O O B-mo O O I-mo O
Electrolux 2 Door Star Refrigerator 190 Frost REF L Free EP202LSVHFB,B-br O O O O O O B-mo O O I-mo
Electrolux 215 L Direct Cool Single Door 3 Star Refrigerator  Euro Neo EN225PTSV,B-br O O O O O O O O O B-mo I-mo I-mo
Single Neo 215 3 Euro EN225PTSV Door Electrolux Cool Refrigerator Direct Star L,O I-mo O O B-mo I-mo O B-br O O O O O
3 Neo 215 Euro Refrigerator Electrolux Door L Single Star EN225PTSV Direct Cool,O I-mo O B-mo O B-br O O O O I-mo O O
